date username type deletedContent
2016-04-23-18-44-19 1 affectation nb:127;matricule:10;id:14;date_affectation:2016-04-01
2016-04-23-18-45-15 111 affectation nb:128;matricule:12;id:20;date_affectation:2016-04-01
2016-04-23-18-52-54 111 appartenanceRegiment nb:121;matricule:12;id:Ecole;Militaire;date_appartenance:2016-04-01
2016-04-23-18-53-02 111 detientGrade num:113;matricule:12;id:1;date_promotion:2016-04-01
2016-04-23-18-53-08 111 possedeDiplome num:84;matricule:12;id:DD;date_obtention:2016-04-01;pays_obtention:france;organisme_formateur:EcoleDesMines
2016-04-23-18-54-30 111 appartenanceRegiment nb:122;matricule:12;id:Ecole;Militaire;date_appartenance:2016-04-01
2016-04-23-19-10-55 111 possedeDiplome num:85;matricule:44;id:CPOS;date_obtention:2016-04-01;pays_obtention:machinland;organisme_formateur:trucland
2016-04-24-21-26-34 1 affectationCaserne nb:129;matricule:8;id:18;date_affectation:2016-04-01
2016-05-01-18-21-22 111 detientGrade num:114;matricule:6;id:2.6.1;date_promotion:2016-05-02
2016-05-01-19-19-51 111 detientGrade num:116;matricule:6;id:1;date_promotion:2016-05-05
2016-05-01-19-31-46 111 detientGrade num:115;matricule:6;id:2.6.1;date_promotion:2016-05-02
2016-05-01-19-33-08 111 detientGrade num:121;matricule:6;id:1;date_promotion:2016-05-09
2016-05-01-19-45-39 111 possedeDiplome num:84;matricule:6;id:CAT1;date_obtention:2016-05-01;pays_obtention:france;organisme_formateur:tatazf
2016-05-01-19-49-02 111 affectationCaserne nb:125;matricule:6;id:7;date_affectation:2016-05-01
2016-05-01-19-51-35 111 appartenanceRegiment nb:121;matricule:3;id:Forces;Armées;date_appartenance:2016-05-01
2016-05-01-19-56-21 111 affectationCaserne nb:126;matricule:3;id:7;date_affectation:2016-05-01
2016-05-05-12-22-08 111 appartenanceRegiment nb:123;matricule:2;id:EcoleMilitaire;date_appartenance:2016-05-05
2016-05-05-12-22-14 111 affectationCaserne nb:133;matricule:2;id:5;date_affectation:2016-05-04
2016-05-05-12-22-30 111 affectationCaserne nb:134;matricule:2;id:7;date_affectation:2016-05-04
2016-05-05-12-24-23 111 detientGrade num:123;matricule:2;id:3.3.1;date_promotion:2016-05-01
2016-05-05-12-29-10 111 possedeDiplome num:86;matricule:2;id:BEAT;date_obtention:2016-05-04;pays_obtention:aaaaaaa;organisme_formateur:aaaaa
2016-05-16-10-44-47 111 affectationCaserne nb:138;matricule:63;id:3;date_affectation:2016-05-20
2016-05-16-10-45-32 111 appartenanceRegiment nb:124;matricule:63;id:Ecole_Militaire;date_appartenance:2016-05-02
2016-05-16-11-56-21 111 appartenanceRegiment nb:80;matricule:80;id:Forces_Armées;date_appartenance:1989-07-27
